"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202208","2호선","영등포구청","48","1","5430","2777","12206","13811","36682","36658","45469","123193","27524","53512","21624","25992","21808","22765","23903","22558","24369","24477","25310","22269","26828","23185","33677","26620","51578","33695","103486","53152","34356","34672","24341","19901","22920","18487","17133","17093","7757","11447","1280","3820","3","86","0","0","0","0","20220903"
"202208","2호선","왕십리(성동구청)","899","1","7038","1104","10125","6446","25807","12245","44169","25966","28796","17233","18857","14055","18830","14805","20848","16688","22187","18157","21472","17962","23633","19905","29099","23746","33161","33200","36058","54333","21729","32906","21114","19550","23708","17502","23438","17417","12465","11784","2096","4522","1","32","0","1","0","0","20220903"
"202208","2호선","용답","13","0","2514","278","3250","1141","7971","1727","12682","2886","7271","2296","4624","2065","3945","2416","4124","2648","4203","3044","3773","3136","3718","4056","4474","5298","4558","6175","3645","10499","2353","7246","1599","4528","1187","5502","1023","4932","410","3182","74","888","0","0","0","0","0","0","20220903"
"202208","2호선","용두(동대문구청)","44","1","1229","166","1588","986","4976","2521","9286","5280","4809","3483","3736","3357","3822","3253","3960","3075","4096","3847","3913","3748","4147","4257","4303","4244","4689","4600","5445","8139","2481","5121","1442","2795","1323","2988","709","2283","284","1527","56","489","0","7","0","0","0","0","20220903"
"202208","2호선","을지로3가","19","0","1140","1642","2243","18943","5103","68599","10147","175176","12574","68177","14770","29243","19874","25069","21805","23601","23817","25454","26456","22620","30923","21114","38643","23582","84972","29042","140768","34442","51152","19222","37969","11778","38886","9461","33949","7815","20240","5091","3199","1332","0","53","1","0","0","0","20220903"
"202208","2호선","을지로4가","5","0","922","1527","2083","14176","4264","35174","8723","75030","9342","37564","11056","22172","15299","21599","17394","19202","18856","18321","20638","17353","23484","15778","29261","14556","53401","13651","66221","14126","27539","8804","15563","5692","12595","5368","9228","5077","4353","3279","765","1056","0","17","1","1","0","0","20220903"
"202208","2호선","을지로입구","64","0","2287","2681","3816","27574","9428","120481","15319","314501","17943","143178","22488","63562","32991","57519","39161","50840","47596","49170","53324","44642","64114","40364","75919","40928","146060","47030","268953","50637","102913","28545","90095","17716","62658","16818","45650","15637","18636","9090","2915","3437","5","676","0","0","0","0","20220903"
"202208","2호선","이대","42","0","3384","1088","8561","7221","24155","11437","34455","34270","20395","27899","15483","21852","16775","18316","21651","20468","21482","23040","20303","20184","23031","20102","26787","21337","36354","27201","31897","39311","19482","27823","15402","18308","13711","18220","12318","18237","4699","13754","684","3728","1","37","0","0","0","0","20220903"
"202208","2호선","잠실(송파구청)","91","18","11471","4672","45486","31679","113682","72007","155396","169876","112211","154352","76435","116204","76852","112541","84468","112426","92805","113901","100209","109601","119144","116887","142322","130250","182140","164590","225668","224410","152039","142901","153516","91670","143695","84072","98447","79406","28751","42137","3541","7798","3","31","1","0","0","0","20220903"
"202208","2호선","잠실나루","15","1","3191","1877","11136","10252","35469","21485","42766","36413","27904","23584","21868","18407","21892","16174","21570","18964","20110","20194","20896","18394","23477","17815","27758","19318","33328","24801","29176","38705","14141","27606","10611","17362","7971","16687","6271","15945","2506","8865","368","2236","0","6","1","0","0","0","20220903"
